,age,height_cm,weight_kg,overall,potential,value_eur,wage_eur,international_reputation,weak_foot,skill_moves,release_clause_eur,team_jersey_number,contract_valid_until,nation_jersey_number,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
5026,0.35,0.3055555555555556,0.35714285714285715,0.425,0.4444444444444444,0.019254481646590153,0.006396588486140725,0.0,0.75,0.25,0.01679849495327486,0.04081632653061224,0.14285714285714285,0.13793103448275862,0.6705882352941176,0.5232558139534884,0.6395348837209303,0.7901234567901234,0.5116279069767442,0.6153846153846154,0.7738095238095238,0.6987951807228916,0.7125,0.6547619047619048,0.5135135135135135,0.654320987654321,0.43243243243243246,0.49019607843137253,0.68,0.5857142857142857,0.5230769230769231,0.6753246753246753,0.6229508196721312,0.6091954022988506,0.7435897435897436,0.75,0.5384615384615384,0.5844155844155844,0.6375,0.6666666666666666,0.7241379310344828,0.6746987951807228,0.6219512195121951,0.045454545454545456,0.08888888888888889,0.0449438202247191,0.056818181818181816,0.0898876404494382
5033,0.4,0.6111111111111112,0.5238095238095238,0.425,0.4166666666666667,0.015460495115242341,0.02771855010660981,0.0,0.5,0.0,0.016285876858881363,0.15306122448979592,0.5714285714285714,0.6896551724137931,0.047058823529411764,0.03488372093023256,0.10465116279069768,0.1728395061728395,0.10465116279069768,0.07692307692307693,0.09523809523809523,0.13253012048192772,0.0125,0.05952380952380952,0.24324324324324326,0.30864197530864196,0.22972972972972974,0.49019607843137253,0.25333333333333335,0.35714285714285715,0.24615384615384617,0.11688311688311688,0.21311475409836064,0.10344827586206896,0.19230769230769232,0.08333333333333333,0.04395604395604396,0.2987012987012987,0.1625,0.3333333333333333,0.12643678160919541,0.08433734939759036,0.06097560975609756,0.7727272727272727,0.7333333333333333,0.7303370786516854,0.7613636363636364,0.7640449438202247
5039,0.25,0.5833333333333334,0.3333333333333333,0.425,0.4166666666666667,0.015460495115242341,0.0021321961620469083,0.0,0.5,0.0,0.011159695914946406,0.11224489795918367,0.42857142857142855,0.3793103448275862,0.08235294117647059,0.13953488372093023,0.09302325581395349,0.16049382716049382,0.1511627906976744,0.10989010989010989,0.05952380952380952,0.13253012048192772,0.1875,0.047619047619047616,0.3108108108108108,0.38271604938271603,0.22972972972972974,0.47058823529411764,0.5066666666666667,0.4142857142857143,0.4461538461538462,0.23376623376623376,0.18032786885245902,0.10344827586206896,0.038461538461538464,0.17857142857142858,0.17582417582417584,0.42857142857142855,0.0625,0.375,0.011494252873563218,0.0963855421686747,0.06097560975609756,0.7954545454545454,0.6888888888888889,0.7865168539325843,0.7727272727272727,0.7303370786516854
5057,0.3,0.6944444444444444,0.5,0.425,0.4166666666666667,0.019254481646590153,0.017057569296375266,0.0,0.5,0.25,0.016285876858881363,0.030612244897959183,0.2857142857142857,0.13793103448275862,0.25882352941176473,0.5813953488372093,0.7441860465116279,0.6296296296296297,0.5,0.4725274725274725,0.36904761904761907,0.5060240963855421,0.625,0.5238095238095238,0.3108108108108108,0.41975308641975306,0.43243243243243246,0.35294117647058826,0.38666666666666666,0.4714285714285714,0.5538461538461539,0.5454545454545454,0.7377049180327869,0.41379310344827586,0.6666666666666666,0.7380952380952381,0.5274725274725275,0.44155844155844154,0.325,0.5833333333333334,0.7241379310344828,0.7469879518072289,0.7560975609756098,0.056818181818181816,0.08888888888888889,0.056179775280898875,0.125,0.11235955056179775
5099,0.4,0.5,0.4523809523809524,0.425,0.3888888888888889,0.020202978279427106,0.008528784648187633,0.0,0.5,0.5,0.014748022575700877,0.07142857142857142,0.2857142857142857,0.6896551724137931,0.6941176470588235,0.6511627906976745,0.4186046511627907,0.6790123456790124,0.7558139534883721,0.7032967032967034,0.7619047619047619,0.7108433734939759,0.5875,0.6666666666666666,0.7297297297297297,0.8271604938271605,0.8108108108108109,0.5294117647058824,0.7466666666666667,0.7142857142857143,0.3230769230769231,0.8571428571428571,0.47540983606557374,0.7471264367816092,0.7051282051282052,0.6904761904761905,0.7252747252747253,0.6493506493506493,0.5875,0.5694444444444444,0.5517241379310345,0.5542168674698795,0.5487804878048781,0.10227272727272728,0.1111111111111111,0.14606741573033707,0.07954545454545454,0.056179775280898875
5141,0.4,0.6944444444444444,0.2857142857142857,0.425,0.3611111111111111,0.019254481646590153,0.017057569296375266,0.0,0.5,0.5,0.02089943970842283,0.35714285714285715,0.14285714285714285,0.7241379310344828,0.6235294117647059,0.7441860465116279,0.7906976744186046,0.6790123456790124,0.627906976744186,0.6923076923076923,0.6190476190476191,0.6144578313253012,0.6375,0.7261904761904762,0.6756756756756757,0.5802469135802469,0.5405405405405406,0.5294117647058824,0.49333333333333335,0.7142857142857143,0.7692307692307693,0.7922077922077922,0.7213114754098361,0.6781609195402298,0.8333333333333334,0.7142857142857143,0.7472527472527473,0.6883116883116883,0.5625,0.6388888888888888,0.6666666666666666,0.7469879518072289,0.7073170731707317,0.056818181818181816,0.12222222222222222,0.10112359550561797,0.07954545454545454,0.0898876404494382
5143,0.35,0.16666666666666666,0.23809523809523808,0.425,0.3611111111111111,0.020202978279427106,0.008528784648187633,0.0,0.75,0.5,0.017311113047668355,0.2857142857142857,0.2857142857142857,0.27586206896551724,0.5176470588235295,0.6744186046511628,0.6627906976744186,0.7037037037037037,0.6976744186046512,0.7582417582417582,0.7142857142857143,0.7469879518072289,0.5375,0.75,0.8783783783783784,0.9012345679012346,0.8783783783783784,0.4117647058823529,0.7733333333333333,0.6285714285714286,0.5846153846153846,0.6493506493506493,0.4098360655737705,0.6551724137931034,0.6794871794871795,0.25,0.6703296703296703,0.6233766233766234,0.65,0.5694444444444444,0.367816091954023,0.2891566265060241,0.13414634146341464,0.11363636363636363,0.13333333333333333,0.07865168539325842,0.06818181818181818,0.0898876404494382
5197,0.45,0.3333333333333333,0.35714285714285715,0.425,0.3333333333333333,0.0183059850137532,0.008528784648187633,0.0,0.75,0.5,0.015773258764487867,0.20408163265306123,0.14285714285714285,0.4482758620689655,0.6,0.686046511627907,0.5116279069767442,0.7901234567901234,0.5930232558139535,0.7472527472527473,0.6666666666666666,0.6987951807228916,0.675,0.7261904761904762,0.5675675675675675,0.5925925925925926,0.7972972972972973,0.47058823529411764,0.7333333333333333,0.6428571428571429,0.36923076923076925,0.7532467532467533,0.39344262295081966,0.6896551724137931,0.6666666666666666,0.6071428571428571,0.7032967032967034,0.6623376623376623,0.6625,0.6805555555555556,0.5402298850574713,0.5662650602409639,0.4268292682926829,0.06818181818181818,0.1,0.056179775280898875,0.14772727272727273,0.11235955056179775
5198,0.45,0.5555555555555556,0.7380952380952381,0.425,0.3333333333333333,0.016408991748079294,0.006396588486140725,0.0,0.5,0.5,0.015773258764487867,0.01020408163265306,0.14285714285714285,0.034482758620689655,0.7176470588235294,0.5232558139534884,0.6627906976744186,0.7160493827160493,0.313953488372093,0.7032967032967034,0.5952380952380952,0.4457831325301205,0.675,0.7142857142857143,0.7027027027027027,0.6790123456790124,0.6621621621621622,0.4117647058823529,0.6266666666666667,0.5428571428571428,0.6307692307692307,0.8701298701298701,0.819672131147541,0.4942528735632184,0.717948717948718,0.6309523809523809,0.5934065934065934,0.4935064935064935,0.4375,0.5416666666666666,0.6781609195402298,0.7108433734939759,0.7073170731707317,0.06818181818181818,0.1,0.1348314606741573,0.14772727272727273,0.10112359550561797
5261,1.0,0.5,0.40476190476190477,0.425,0.3055555555555556,0.002892914730152708,0.014925373134328358,0.0,0.75,0.5,0.0024451883102569755,0.09183673469387756,0.14285714285714285,0.3103448275862069,0.6235294117647059,0.6046511627906976,0.686046511627907,0.7283950617283951,0.6976744186046512,0.7142857142857143,0.6666666666666666,0.6987951807228916,0.675,0.7857142857142857,0.5675675675675675,0.24691358024691357,0.6351351351351351,0.45098039215686275,0.6133333333333333,0.6142857142857143,0.38461538461538464,0.16883116883116883,0.5245901639344263,0.6896551724137931,0.8589743589743589,0.7738095238095238,0.6483516483516484,0.7012987012987013,0.725,0.7222222222222222,0.7471264367816092,0.7228915662650602,0.7195121951219512,0.125,0.15555555555555556,0.0449438202247191,0.09090909090909091,0.12359550561797752
